"itemTitle","itemNote","itemCategory","itemLocation","itemTag","itemDateTime","itemPrice1","itemQty","itemPrice2","itemQtyMin","itemTitle1","itemDesc","itemCustomBarcode","itemASIN","itemUPC","itemISBN","itemEAN","itemModel","itemSerial","itemAttachment"
"#6 Plastic Ski Boots","","Ski Boots","","","2015-06-02 17:44","0.0","0","0.0","1.0","Garmont size 40","","000006","","","","","","","* 20150512_183541-resized-1024.jpg
* 20150512_183546-resized-1024.jpg"
"#60 Skis","Old, double right binding, needs swapping.","Casualties","","","2015-12-03 19:32","0.0","1","0.0","0.0","Morotto 195cm 3pin Bindings","","000060","","","","","","","* 151203_193325.jpg"
"#61 Skis","Were not even hired out this season in 2016","Missing","","","2015-12-03 19:34","0.0","0","0.0","0.0","Karhu 190cm Cable Bindings","","000061","","","","","","","* 151203_193451.jpg"
"#62 Snow Shovel","","Snow Shovel","","","2015-12-03 21:09","0.0","0","0.0","0.0","","","000062","","","","","","","* 151203_210916.jpg"
"#63 Snow Shovel","","Snow Shovel","","","2015-12-03 21:10","0.0","0","0.0","0.0","Black Diamond Snow Shovel","","000063","","","","","","","* 151203_211047.jpg"
"#64 Snow Shovel","","Snow Shovel","","","2015-12-03 21:13","0.0","0","0.0","0.0","","","000064","","","","","","","* 151203_211259.jpg"
"#65 Snow Shovel","","Snow Shovel","","","2015-12-03 21:14","0.0","0","0.0","0.0","","","000065","","","","","","","* 151203_211421.jpg"
"#66 Snow Shovel","","Snow Shovel","","","2015-12-03 21:15","0.0","0","0.0","0.0","","","000066","","","","","","","* 151203_211526.jpg"
"#67 Ski Gloves","","Ski Gloves","","","2015-12-03 21:17","0.0","0","0.0","0.0","Aldi","","000067","","","","","","","* 151203_211659.jpg"
"#68 Ski Gloves","","Ski Gloves","","","2015-12-03 21:18","0.0","0","0.0","0.0","Aldi","","000068","","","","","","","* 151203_211846.jpg"
"#69 Ski Gloves","","Ski Gloves","","","2015-12-03 21:19","0.0","0","0.0","0.0","Aldi","","000069","","","","","","","* 151203_211946.jpg"
